10%_retina,50%_retina,10%_vitreous,50%_vitreous,10%_aqueous,50%_aqueous,dose,k_d_value,k_off_value,r_c=5.1_multiplier,del_r=1.25_multiplier,dds_geometry,total_r1,total_r2,total_delr,fraction_pcl,dataset,iteration
66.7033351667583,249.812490624531,240.51202560128,405.520276013801,230.711535576779,401.22006100305,2,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose,0
58.7029351467573,109.605480274014,106.305315265763,146.107305365268,103.805190259513,145.007250362518,2,19000,0.864,0.5,1,Chitosan_PCL,0.000255,0.00038,0.000125,0.328947368421053,BiLayer_Changing_Chitosan,0
54.3027151357568,363.118155907795,344.117205860293,715.135756787839,323.31616580829,705.335266763338,2,19000,0.864,1.5,1,Chitosan_PCL,0.000765,0.00089,0.000125,0.140449438202247,BiLayer_Changing_Chitosan,0
43.9021951097555,417.720886044302,389.319465973299,1029.65148257413,356.117805890295,1012.85064253213,2,19000,0.864,2,1,Chitosan_PCL,0.00102,0.001145,0.000125,0.109170305676856,BiLayer_Changing_Chitosan,0
32.401620081004,394.119705985299,356.117805890295,1569.77848892445,313.915695784789,1531.47657382869,2,19000,0.864,3,1,Chitosan_PCL,0.00153,0.001655,0.000125,0.0755287009063445,BiLayer_Changing_Chitosan,0
26.7013350667533,316.41582079104,281.214060703035,1885.99429971499,243.11215560778,1824.29121456073,2,19000,0.864,4,1,Chitosan_PCL,0.00204,0.002165,0.000125,0.0577367205542726,BiLayer_Changing_Chitosan,0
23.4011700585029,246.112305615281,216.410820541027,1972.89864493225,185.309265463273,1897.29486474324,2,19000,0.864,5,1,Chitosan_PCL,0.00255,0.002675,0.000125,0.0467289719626169,BiLayer_Changing_Chitosan,0
66.6033301665083,249.612480624031,240.31201560078,405.320266013301,230.511525576279,401.02005100255,2,19000,0.864,1,0.01,Chitosan_PCL,0.00051,0.00051125,1.24999999999995e-06,0.002444987775061,BiLayer_Changing_PCL,0
68.4034201710085,252.012600630031,242.71213560678,407.920396019801,232.911645582279,403.62018100905,2,19000,0.864,1,10,Chitosan_PCL,0.00051,0.00176,0.00125,0.710227272727273,BiLayer_Changing_PCL,0
72.5036251812591,256.312815640782,246.912345617281,411.720586029301,237.11185559278,407.120356017801,2,19000,0.864,1,20,Chitosan_PCL,0.00051,0.00301,0.0025,0.830564784053156,BiLayer_Changing_PCL,0
75.4037701885094,258.812940647032,249.612480624031,415.020751037552,239.91199559978,410.520526026301,2,19000,0.864,1,25,Chitosan_PCL,0.00051,0.003635,0.003125,0.859697386519945,BiLayer_Changing_PCL,0
79.1039551977599,262.313115655783,253.312665633282,419.120956047802,243.61218060903,414.520726036302,2,19000,0.864,1,30,Chitosan_PCL,0.00051,0.00426,0.00375,0.880281690140845,BiLayer_Changing_PCL,0
36.7018350917546,58.8029401470073,56.9028451422571,73.1036551827591,55.902795139757,72.6036301815091,2,19000,0.864,0.1,10,Chitosan_PCL,5.1e-05,0.001301,0.00125,0.960799385088393,BiLayer_Changing_Both,0
58.8029401470073,109.705485274264,106.405320266013,146.207310365518,103.905195259763,145.107255362768,2,19000,0.864,0.5,2,Chitosan_PCL,0.000255,0.000505,0.00025,0.495049504950495,BiLayer_Changing_Both,0
